id_kabupaten,nama_kabupaten,frekuensi_gempa,seismic_density,mag_p95,mag_std,b_value,depth_std,depth_skew,shallow_ratio,event_concentration,centroid_lat,centroid_lon,cluster_label
IDN.1.16_1,Langsa,1.0,0.005061644789680359,3.665418199,0.0,1.0,0.0,0.0,1.0,1.0,4.518107891,97.93490601,1
IDN.1.17_1,Lhokseumawe,1.0,0.00718041876652181,3.373381601,0.0,1.0,0.0,0.0,1.0,1.0,5.217179775,97.05319214,1
IDN.1.22_1,Simeulue,1071.0,0.5822385654027125,5.0089558575,0.6919158554873484,0.18232386703886122,37.02900151551649,11.800861873424108,0.9607843137254902,0.0028011204481792717,2.414328977182073,96.13020021835668,3
IDN.3.7_1,Pangkalpinang,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.4.3_1,KotaTangerang,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.4.7_1,TangerangSelatan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.6.3_1,DanauLimboto,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.7.1_1,JakartaBarat,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.7.2_1,JakartaPusat,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.7.3_1,JakartaSelatan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.7.4_1,JakartaTimur,1.0,0.005354291864833469,4.674786691,0.0,1.0,0.0,0.0,0.0,1.0,-6.192215919,106.8865662,1
IDN.7.5_1,JakartaUtara,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.7.6_1,KepulauanSeribu,16.0,1.8531886623392455,5.4984044142499995,0.7871073394367691,0.4164931201194906,137.53738885602465,-0.21529933074337212,0.3125,0.0625,-5.445191296375,106.569146025,3
IDN.8.3_1,Jambi,1.0,0.005834929196516103,5.160922411,0.0,1.0,0.0,0.0,1.0,1.0,-1.579255939,103.5939331,1
IDN.8.8_1,SungaiPenuh,1.0,0.0028264419506608533,3.964773106,0.0,1.0,0.0,0.0,0.0,1.0,-2.105076075,101.3450165,1
IDN.8.10_1,TanjungJabungT,5.0,0.0010095201714487244,5.302345277800001,0.8931053195228965,0.3379270221691719,371.99529566917914,0.23939031281983492,0.4,0.2,-1.1094703534,103.98556304000002,2
IDN.9.3_1,Banjar,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.9.10_1,Depok,1.0,0.004946009379719375,3.132111817,0.0,1.0,0.0,0.0,0.0,1.0,-6.37286377,106.7904358,1
IDN.9.15_1,KotaBekasi,1.0,0.004614662744501367,3.652374415,0.0,1.0,0.0,0.0,0.0,1.0,-6.353786469,107.0157623,1
IDN.9.17_1,KotaCirebon,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.10.9_1,Grobogan,1.0,0.00048501383134985177,3.630599626,0.0,1.0,0.0,0.0,1.0,1.0,-7.194939137,110.8371277,1
IDN.10.15_1,KotaMagelang,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.10.16_1,KotaPekalongan,1.0,0.02143805740332159,3.747676564,0.0,1.0,0.0,0.0,0.0,1.0,-6.383906841,109.9000168,1
IDN.10.17_1,KotaSemarang,1.0,0.0025506198445620055,5.706508748,0.0,1.0,0.0,0.0,1.0,1.0,-6.989160061,110.325531,1
IDN.10.18_1,KotaTegal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.10.19_1,Kudus,1.0,0.002261914347009626,4.282437535,0.0,1.0,0.0,0.0,1.0,1.0,-6.726953983,110.851944,1
IDN.10.26_1,Rembang,10.0,0.00949385066872743,5.675547032749999,1.3094452763588484,0.3001522526913708,293.6945692381798,1.0358674437238808,0.7,0.1,-6.513416338000001,111.5878357,2
IDN.10.31_1,Surakarta,1.0,0.02121717536437353,2.396542042,0.0,1.0,0.0,0.0,0.0,1.0,-7.552999973,110.8040771,1
IDN.10.34_1,WadukKedungombo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.11.3_1,Batu,3.0,0.015004906608662945,3.2331350875,0.23915345341114436,2.514533874349932,1.7320508075688772,1.7320508075688774,1.0,0.3333333333333333,-7.797942000666667,112.53299593333334,1
IDN.11.11_1,KotaBlitar,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.11.13_1,KotaMadiun,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.11.14_1,KotaMalang,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.11.15_1,KotaMojokerto,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.11.16_1,KotaPasuruan,1.0,0.025476902830776,3.1407186,0.0,1.0,0.0,0.0,1.0,1.0,-7.5882072,112.95959,1
IDN.11.17_1,KotaProbolinggo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.11.32_1,Sidoarjo,1.0,0.0013655050906150735,3.998160612,0.0,1.0,0.0,0.0,1.0,1.0,-7.472742081,112.6664658,1
IDN.11.35_1,Surabaya,1.0,0.0029773436433029807,2.228503456,0.0,1.0,0.0,0.0,1.0,1.0,-7.203687191,112.7953415,1
IDN.12.5_1,KotaPontianak,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.12.8_1,Melawi,4.0,0.00040037186501658235,6.11961274735,0.1532744138513046,2.8090566028378348,136.66839429802343,0.13834962691163874,0.5,0.25,-0.59882092475,111.9110737,2
IDN.12.12_1,Sekadau,1.0,0.0001754781013410463,5.545678816,0.0,1.0,0.0,0.0,0.0,1.0,-0.446424216,110.651619,1
IDN.12.13_1,Singkawang,1.0,0.0022149935366461895,5.997383542,0.0,1.0,0.0,0.0,1.0,1.0,0.897680521,108.9111633,1
IDN.12.14_1,Sintang,18.0,0.0008043515883023214,6.26340603485,0.9220106495003567,0.2478045534273353,280.7106120409741,1.2157946726002042,0.5555555555555556,0.05555555555555555,0.8649622842222223,111.70723751111112,2
IDN.13.1_1,Balangan,2.0,0.0010530942038848763,5.775998126649999,0.6253321920601773,1.0,333.75440072005046,0.0,0.0,0.5,-2.3522701264999997,115.5967064,1
IDN.13.2_1,BanjarBaru,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.13.4_1,Banjarmasin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.13.6_1,HuluSungaiSelatan,1.0,0.0005872957808039437,5.215960869,0.0,1.0,0.0,0.0,0.0,1.0,-2.54490447,115.0198898,1
IDN.13.7_1,HuluSungaiTengah,1.0,0.0005893070244956014,4.2383154,0.0,1.0,0.0,0.0,1.0,1.0,-2.527144432,115.3534164,1
IDN.13.8_1,HuluSungaiUtara,2.0,0.0021404129896718162,6.13987306155,1.0513150690657571,1.0,415.0716805565034,0.0,0.5,0.5,-2.4080487489999998,115.1545792,1
IDN.13.13_1,Tapin,1.0,0.00045672560253630725,5.994796598,0.0,1.0,0.0,0.0,1.0,1.0,-2.808728933,114.8768005,1
IDN.14.1_1,BaritoSelatan,4.0,0.0006239413022273977,5.00430685065,0.597191763538233,0.5090968439373068,369.66786894905175,1.9999609956441713,0.75,0.25,-1.66089095825,115.075186575,2
IDN.14.2_1,BaritoTimur,1.0,0.00033256127950333713,4.171733129,0.0,1.0,0.0,0.0,1.0,1.0,-1.900273204,115.253334,1
IDN.14.6_1,Katingan,8.0,0.00041154131027653474,5.8650697867499995,0.6382181970174984,0.4041469974033113,304.64686816987677,1.5023213381650677,0.75,0.125,-2.454450563875,113.0630049375,2
IDN.14.11_1,PalangkaRaya,1.0,0.00038377309450808464,4.407199061,0.0,1.0,0.0,0.0,1.0,1.0,-1.719731212,113.5284729,1
IDN.14.13_1,Seruyan,11.0,0.0006601984949466725,5.9148528495,0.42886310034599245,0.5747066539072679,300.30287741181934,1.5903946380325558,0.7272727272727273,0.09090909090909091,-3.3686607722727273,112.39915922727273,2
IDN.34.1_1,Balikpapan,1.0,0.0018290050377033431,5.650650487,0.0,1.0,0.0,0.0,1.0,1.0,-1.137725234,116.9036636,1
IDN.34.3_1,Bontang,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.34.11_1,PenajamPaserUtara,3.0,0.0009229319589709763,4.863624740200001,0.12500195217423266,3.5343645011703204,258.65292059695236,1.732050807568877,0.6666666666666666,0.3333333333333333,-1.3657514453333333,116.56326803333333,1
IDN.34.12_1,Samarinda,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.16.7_1,Tanjungpinang,1.0,0.006728165751618813,4.118730371,0.0,1.0,0.0,0.0,0.0,1.0,0.87764883,104.4770889,1
IDN.17.1_1,BandarLampung,1.0,0.005643574825240182,2.758304806,0.0,1.0,0.0,0.0,1.0,1.0,-5.428233147,105.2146301,1
IDN.17.7_1,Mesuji,1.0,0.00045750640865382713,4.941214724,0.0,1.0,0.0,0.0,1.0,1.0,-4.076354504,105.538681,1
IDN.17.8_1,Metro,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.17.13_1,Tulangbawang,5.0,0.0016069107941968522,5.6782652762,0.5598314250447115,0.5773228722624698,289.58452997354675,0.9963844698722779,0.6,0.2,-4.3912067414,105.9641449,2
IDN.19.9_1,SeramBagianBarat,1965.0,0.43534248467856484,4.4521044417999995,0.6977670018100579,0.252467628308887,36.865178736501505,12.881326965101385,0.9659033078880407,0.005089058524173028,-2.982892761435623,128.16644589287532,3
IDN.18.8_1,Ternate,4194.0,25.91939993442804,4.846031709299999,0.6399291278060613,0.21334656781987346,34.29674445799012,10.574665032626397,0.9549356223175965,0.001430615164520744,1.2223319741962326,126.379951149237,3
IDN.21.16_1,SumbaBaratDaya,1694.0,1.1727892336292323,4.637889426599999,0.7239179681160798,0.2541638017101031,30.350759204703834,8.797422566566693,0.9344746162927982,0.0023612750885478157,-9.665728790768004,118.87025639439197,3
IDN.23.15_1,Mappi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.22.8_1,Sorong,272.0,0.03491153482223974,4.680580894999999,0.7757857319659678,0.21483010200874889,50.820617721424355,12.077914260120695,0.9742647058823529,0.014705882352941176,-0.6940932138161765,131.6112746352941,2
IDN.24.2_1,Dumai,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.24.12_1,Siak,1.0,0.00012781921460886086,4.988077661,0.0,1.0,0.0,0.0,0.0,1.0,0.743634403,101.5453491,1
IDN.25.2_1,Mamasa,497.0,0.16693845302129917,3.7883963387999997,0.5755102276393083,0.3319494836701555,8.406965593330378,14.173982046948698,0.9959758551307847,0.014084507042253521,-2.902200112191147,119.42456978832999,2
IDN.26.9_1,LuwuTimur,2186.0,0.3252454317146249,3.8477160975,0.6879144878426942,0.17508312456628963,14.927123534100906,22.569591772267792,0.9954254345837146,0.004117108874656907,-2.4503135173691675,121.02325897360475,2
IDN.26.12_1,Makassar,1.0,0.005445874958955587,3.242074886,0.0,1.0,0.0,0.0,1.0,1.0,-5.130624294,118.9494171,1
IDN.27.1_1,BanggaiKepulauan,637.0,0.2088957848995311,4.7714631056,0.6436619234536309,0.3397485503972627,44.303574626905906,11.764116073750888,0.9748822605965463,0.006279434850863423,-1.852841544963893,122.91476317252746,2
IDN.27.4_1,Donggala,699.0,0.14243432872189646,4.407598403800001,0.7011246569676554,0.24800272677330926,27.410026073915034,11.71488346383617,0.977110157367668,0.004291845493562232,-0.17186664560371961,119.73395810314736,2
IDN.27.9_1,Sigi,1092.0,0.20103809702749348,4.237525901950001,0.7294318564673916,0.21401781816887908,23.943404045817346,12.034029454499352,0.989010989010989,0.004578754578754579,-1.2990344807582417,120.06138361327838,2
IDN.28.7_1,Kolaka,266.0,0.03932658988117851,4.49072392075,0.7958743268287131,0.3120049597679139,34.945630104681904,13.581505122691137,0.981203007518797,0.022556390977443608,-4.076809912770677,121.72167496616542,2
IDN.29.6_1,KepulauanSangihe,1199.0,1.9919689346144567,5.166747435299998,0.6160268176438685,0.233188856813365,158.64406474506694,1.528965998797759,0.4370308590492077,0.0016680567139282735,4.31533916824437,125.2850815589658,3
IDN.29.7_1,KepulauanTalaud,3228.0,3.163275499564423,5.1653910623999995,0.6280143090984471,0.23076765634885865,55.50465134573878,4.009767866284098,0.7100371747211895,0.0009293680297397769,4.3760660033283765,126.84239201651177,3
IDN.29.14_1,SiauTagulandangBiaro,526.0,2.386730558868119,4.947123619,0.6194745631652739,0.17650172020265395,142.71198981492918,1.6602070471603514,0.5494296577946768,0.0038022813688212928,2.5748105729543727,125.49083615988594,3
IDN.29.15_1,Tomohon,3.0,0.020359741235466567,3.7120591365,0.04769271218099975,9.97006170068756,87.751543196307,-0.39015446537743337,0.3333333333333333,0.3333333333333333,1.3140097856666666,124.81646476666667,1
IDN.30.6_1,KotaSolok,1.0,0.016496783218659297,3.5742085,0.0,1.0,0.0,0.0,0.0,1.0,-0.76380557,100.65553,1
IDN.30.8_1,PadangPanjang,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.30.14_1,Payakumbuh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.30.16_1,Sawahlunto,1.0,0.004198757104671641,4.9760291,0.0,1.0,0.0,0.0,0.0,1.0,-0.72792351,100.71338,1
IDN.31.14_1,Palembang,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.32.2_1,BatuBara,3.0,0.0032730250498623982,5.3413857079,0.8933941345393588,0.5048434472764034,382.356291086381,1.1992040477055246,0.3333333333333333,0.3333333333333333,3.3150378066666666,99.44314829333332,2
IDN.32.8_1,KotaBinjai,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.32.9_1,KotaMedan,1.0,0.0035196947776845746,2.4915937,0.0,1.0,0.0,0.0,1.0,1.0,3.5390639,98.627609,1
IDN.32.10_1,KotaTanjungbalai,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.32.13_1,Labuhanbatu,1.0,0.00036618856046889236,5.800949759,0.0,1.0,0.0,0.0,1.0,1.0,2.764794827,100.0971756,1
IDN.32.18_1,NiasSelatan,1066.0,0.42662666764851515,4.926587295,0.683632509666594,0.25970242614912414,33.05881709732616,12.515061718773163,0.9803001876172608,0.0028142589118198874,0.05860305755534709,98.21744180227016,3
IDN.32.28_1,Sibolga,1.0,0.09206636907939085,2.7933265,0.0,1.0,0.0,0.0,1.0,1.0,1.7073325,98.763657,1
IDN.32.33_1,Tebingtinggi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IDN.33.2_1,GunungKidul,1174.0,0.78096947041409,4.66701186445,0.6856363835553917,0.192084173010606,30.956182762114526,12.231933239457526,0.948892674616695,0.0034071550255536627,-8.86150569078024,110.34369622512777,3
IDN.33.3_1,KotaYogyakarta,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
